time,x_t,phi_shaft,q_b0_m0,q_b0_m1,q_b0_m2,q_b1_m0,q_b1_m1,q_b1_m2,q_b2_m0,q_b2_m1,q_b2_m2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03333333333333333,0.1460830285624116,0.0,0.0,0.1460830285624116,0.1460830285624116,0.0,0.0,0.1460830285624116,0.0,0.1460830285624116,0.0
0.06666666666666667,0.28903179694447156,0.0,0.0,0.28903179694447156,0.28903179694447156,0.0,0.0,0.28903179694447156,0.0,0.28903179694447156,0.0
0.1,0.42577929156507266,0.0,0.0,0.42577929156507266,0.42577929156507266,0.0,0.0,0.42577929156507266,0.0,0.42577929156507266,0.0
0.13333333333333333,0.553391549243344,0.0,0.0,0.553391549243344,0.553391549243344,0.0,0.0,0.553391549243344,0.0,0.553391549243344,0.0
0.16666666666666666,0.6691306063588581,0.0,0.0,0.6691306063588581,0.6691306063588581,0.0,0.0,0.6691306063588581,0.0,0.6691306063588581,0.0
0.2,0.7705132427757893,0.0,0.0,0.7705132427757893,0.7705132427757893,0.0,0.0,0.7705132427757893,0.0,0.7705132427757893,0.0
0.23333333333333334,0.8553642601605067,0.0,0.0,0.8553642601605067,0.8553642601605067,0.0,0.0,0.8553642601605067,0.0,0.8553642601605067,0.0
0.26666666666666666,0.9218631515885005,0.0,0.0,0.9218631515885005,0.9218631515885005,0.0,0.0,0.9218631515885005,0.0,0.9218631515885005,0.0
0.3,0.9685831611286311,0.0,0.0,0.9685831611286311,0.9685831611286311,0.0,0.0,0.9685831611286311,0.0,0.9685831611286311,0.0
0.3333333333333333,0.9945218953682733,0.0,0.0,0.9945218953682733,0.9945218953682733,0.0,0.0,0.9945218953682733,0.0,0.9945218953682733,0.0
0.36666666666666664,0.9991228300988584,0.0,0.0,0.9991228300988584,0.9991228300988584,0.0,0.0,0.9991228300988584,0.0,0.9991228300988584,0.0
0.4,0.9822872507286887,0.0,0.0,0.9822872507286887,0.9822872507286887,0.0,0.0,0.9822872507286887,0.0,0.9822872507286887,0.0
0.43333333333333335,0.9443763702374811,0.0,0.0,0.9443763702374811,0.9443763702374811,0.0,0.0,0.9443763702374811,0.0,0.9443763702374811,0.0
0.4666666666666667,0.8862035792312146,0.0,0.0,0.8862035792312146,0.8862035792312146,0.0,0.0,0.8862035792312146,0.0,0.8862035792312146,0.0
0.5,0.8090169943749475,0.0,0.0,0.8090169943749475,0.8090169943749475,0.0,0.0,0.8090169943749475,0.0,0.8090169943749475,0.0
0.5333333333333333,0.7144726796328036,0.0,0.0,0.7144726796328036,0.7144726796328036,0.0,0.0,0.7144726796328036,0.0,0.7144726796328036,0.0
0.5666666666666667,0.6045991148623749,0.0,0.0,0.6045991148623749,0.6045991148623749,0.0,0.0,0.6045991148623749,0.0,0.6045991148623749,0.0
0.6,0.4817536741017156,0.0,0.0,0.4817536741017156,0.4817536741017156,0.0,0.0,0.4817536741017156,0.0,0.4817536741017156,0.0
0.6333333333333333,0.34857204732181535,0.0,0.0,0.34857204732181535,0.34857204732181535,0.0,0.0,0.34857204732181535,0.0,0.34857204732181535,0.0
0.6666666666666666,0.20791169081775973,0.0,0.0,0.20791169081775973,0.20791169081775973,0.0,0.0,0.20791169081775973,0.0,0.20791169081775973,0.0
0.7,0.06279051952931358,0.0,0.0,0.06279051952931358,0.06279051952931358,0.0,0.0,0.06279051952931358,0.0,0.06279051952931358,0.0
0.7333333333333333,-0.08367784333231504,0.0,-0.0,-0.08367784333231504,-0.08367784333231504,-0.0,-0.0,-0.08367784333231504,-0.0,-0.08367784333231504,-0.0
0.7666666666666666,-0.2283508701106555,0.0,-0.0,-0.2283508701106555,-0.2283508701106555,-0.0,-0.0,-0.2283508701106555,-0.0,-0.2283508701106555,-0.0
