time,x_t,phi_shaft,q_b0_m0,q_b0_m1,q_b0_m2,q_b1_m0,q_b1_m1,q_b1_m2,q_b2_m0,q_b2_m1,q_b2_m2
0.0,6.082770668738005e-06,0.005005141515761129,0.006697067990572629,-0.00041154297645481483,-0.002803436508920725,0.0067561083771233215,0.012730692884121198,-0.0032132202446287345,0.005867862899880059,-0.013781313890236933,-0.003555612492086654
0.05,4.8009680161674006e-05,0.010024888308245617,0.03337529318741382,-0.0018127030126136932,-0.013239227000892128,0.03377276789581645,0.06309855457436396,-0.015157339286021384,0.029172153461247217,-0.06809319541207323,-0.01684455401586463
0.1,0.00019732256278495632,0.015060511300541335,0.08497015500392725,-0.0037103999546619602,-0.03070857260307853,0.08644720172121713,0.15911368564715528,-0.035046389348755834,0.07395710338347204,-0.1708230570725259,-0.03929321191836537
0.15,0.0005656418876572592,0.020106529716201853,0.15871229712076884,-0.004832901091646867,-0.04975987004090743,0.16268669048076465,0.2926434287438397,-0.05643561777578254,0.13734946190677794,-0.3120251239464204,-0.06422480390242159
0.2,0.001283846525508417,0.025158524974494893,0.250900975642408,-0.004122537103778257,-0.06451237500743719,0.25944448200352854,0.4520260471824514,-0.07242303954952052,0.2157159055529768,-0.47840961810878024,-0.08426976646512882
0.25,0.0024793472525010724,0.030215669517958392,0.3571730062055956,-0.0011930637763217324,-0.07047651495429241,0.3727871876018454,0.6227730710904069,-0.07786411771285016,0.30502740019714775,-0.6548880993002105,-0.09356558492387715
0.3,0.0042521881358742,0.035281622628176905,0.47273483414199846,0.0035034413032964005,-0.0659318260474257,0.4980341569050551,0.7887476805588953,-0.07100173096776474,0.40108644139397187,-0.8260698275847593,-0.08953758022726595
0.35,0.006663283631967381,0.04036330580888568,0.5926097037514986,0.008890626995546637,-0.05239953420511411,0.6299347895880766,0.933784203180196,-0.0540065688926375,0.49975137226491034,-0.9774903220157575,-0.07362698179096346
0.4,0.00973682828600684,0.045468079620184204,0.7118735142578405,0.013766230663553322,-0.03409820973624484,0.7628904790278189,1.0435370397582207,-0.032268633694984984,0.597139535476438,-1.0965312689225402,-0.050760191817794564
0.45,0.013468350036778064,0.050600624645206635,0.8258705968299446,0.017350406345034857,-0.016600416725903407,0.8912209262862224,1.1072158924854172,-0.012704300395582667,0.6897942908840744,-1.1731334851620587,-0.02778422417916035
0.5,0.01784536285455495,0.05576098548855235,0.9303641266504538,0.01963189158533205,-0.005078435750883527,1.0094220126289235,1.1188486010817293,-0.0015750125871239577,0.7747763521100999,-1.2004431159139328,-0.011323399826092937
0.55,0.022869010329652984,0.06094472286938938,1.0216350375247472,0.021348757923645427,-0.0027066580889736533,1.11241390583269,1.0778194906235965,-0.0025013250760283568,0.8496975562875115,-1.1754634995869462,-0.005747724319698689
0.6,0.028564538369779496,0.06614519198759304,1.0965592752962416,0.023601954380558062,-0.009732153812597153,1.1957778101051155,0.9886206958254196,-0.01531703994585444,0.9127123565072416,-1.0996530735956151,-0.011914932142044475
0.65,0.03497930989697175,0.07135694608472533,1.1526749446355529,0.02727737732360255,-0.023479128351453674,1.255963113842983,0.8599713885344792,-0.03613334304385411,0.9624803543752444,-0.979268831081568,-0.02704284931913514
0.7,0.04216843902339388,0.0765786751972546,1.1882533783253886,0.03255229433099679,-0.03926713334395472,1.2904539166509508,0.7036059800768905,-0.05859452474192291,0.9981215787827855,-0.8252030481733268,-0.0457171930661058
0.75,0.05017229634567015,0.08181429105935606,1.202377772828965,0.0387259591860949,-0.05193563384167088,1.2978960429397726,0.5330386966650703,-0.07590295249348165,1.0191810677618487,-0.6521399893053554,-0.061691741694991024
0.8,0.058992861608836066,0.08707157490341591,1.195020394295211,0.044471740669710394,-0.05748067379480413,1.2782056433044062,0.3625123419470985,-0.08294570534667667,1.0256186307562605,-0.47702896196760974,-0.06989981436594704
0.85,0.06857632357035637,0.0923588977622303,1.1670982315113956,0.04841723023671234,-0.054285715274327066,1.2326491596931433,0.20616706051316183,-0.07785144514393591,1.017818168518892,-0.31708268568162296,-0.0680370496268065
0.9,0.07880748786549735,0.09768147116244136,1.1204816321153757,0.04979519321325327,-0.04356449542136245,1.1638434564628644,0.07728881520139284,-0.06250802000209979,0.9965963480023865,-0.1876886571324514,-0.05722157869990919
0.95,0.08951789603500968,0.10303886621851016,1.0579267930735252,0.048861204809971484,-0.028901174005327036,1.0756452297238481,-0.012549214485540042,-0.04190788096292303,0.9631957203741865,-0.10066640587552739,-0.04153890292085441
1.0,0.10050539442789158,0.10842497185002223,0.9829142292618221,0.046875697169762476,-0.015071568460432205,0.9729304811377372,-0.05453772424400874,-0.02254949758493035,0.9192458253008553,-0.0631919980657817,-0.02665602334934202
1.05,0.11155965499248471,0.11383045566078812,0.8994104321608365,0.0456437288715275,-0.006528631886715522,0.8612719518374113,-0.0437842252856829,-0.01040570157371615,0.8666840599068111,-0.0775006838668736,-0.0179823615824211
1.1,0.12248655182082392,0.11924664906237405,0.8115945747823422,0.04680620535378336,-0.0060250261709020635,0.7465576148400287,0.019699056733159637,-0.009107380219085475,0.8076515479291014,-0.14124002672110678,-0.018962588083350905
1.15,0.13312498785934193,0.12466910230692352,0.7235956125945742,0.05119344570528133,-0.013800134641328758,0.6346197694502037,0.13051291913321822,-0.018898161590082115,0.7443873770324624,-0.24818345817823179,-0.030008343991328373
1.2,0.14335235387410283,0.13009922170590651,0.6392767811196133,0.058521704366980225,-0.027568050283561754,0.5308979634551318,0.2781456751663481,-0.036643922371862515,0.6791570002628811,-0.38901162380408555,-0.048379148575299236
1.25,0.15307830602575423,0.13554331549962823,0.5620899465955917,0.06755373878606111,-0.04328412677979305,0.44015620738525835,0.4480677617769816,-0.05688967662875014,0.6142223384185649,-0.5520084493790978,-0.06905391332890201
1.3,0.16223021617943434,0.1410095258469169,0.4949992936460579,0.07664170827393448,-0.056435364934728005,0.3662822460813395,0.6234854624779165,-0.07363160836291442,0.5518324310617375,-0.7236830989658951,-0.08631948391639727
1.35,0.17073621223487234,0.14650400464077348,0.4404566918558487,0.08441383172285156,-0.06344350570199302,0.31216352879992115,0.7874022612789873,-0.08220216811889754,0.4942291492713299,-0.8894498065589104,-0.09554392107489011
1.4,0.1785121690491743,0.15202802056207498,0.40039782816692693,0.09030637768508516,-0.0627343276359893,0.27962776098374864,0.9245614223606322,-0.0806699783416885,0.44364917867875553,-1.0345412463042196,-0.09455575663474629
1.45,0.18545734245239406,0.15757730975082176,0.3762236563641496,0.0947050279347191,-0.055150019288818006,0.2694355421416333,1.0229129663187073,-0.07035095431301296,0.402265615801468,-1.145265232556511,-0.08424401030393014
1.5,0.19146043026163495,0.1631439125757907,0.36875200260410973,0.09864916608248231,-0.04360414512407132,0.2813040103540082,1.0744434365524473,-0.05530050526249854,0.3720749131447059,-1.2105196781472234,-0.06819827044477504
1.55,0.19641440013196232,0.16871963532350326,0.3781489637567132,0.10325068666330296,-0.032110610238543155,0.3139521446434042,1.0754159129248992,-0.040967484575770506,0.3547616859978851,-1.2232976500217487,-0.05152146921094605
1.6,0.2002355374537209,0.17429962448130684,0.40386259636598076,0.109092521162604,-0.024508228394872093,0.3651746508687764,1.0262098613910255,-0.03244711398020387,0.35153588170365724,-1.1818369079611244,-0.03924732373031751
1.65,0.20288084382045413,0.1798844456881715,0.4445933635679401,0.11588615110350518,-0.023277114113989025,0.4319572739475325,0.930999829254101,-0.03288004982484164,0.36297590339816627,-1.0900835117492744,-0.03482942406686667
1.7,0.20435833830374467,0.18547973542439802,0.498332164392998,0.12254968932133915,-0.02879447805518023,0.5106456712442499,0.7974304675356788,-0.04248281354684934,0.38891558685483596,-0.9572875449425321,-0.039155725087120695
1.75,0.20472698763614047,0.19109363527555467,0.5624672479298977,0.12766814762893022,-0.03925904458543741,0.5971672312483368,0.6362853136352488,-0.05849621380794783,0.4284036265407676,-0.7967884183047238,-0.05037691983267037
1.8,0.20408600353271122,0.1967332626921445,0.6339463073012468,0.1301181354970117,-0.05130090713898078,0.6872861454645278,0.46100214386843485,-0.07606159376964138,0.4797389211248404,-0.624291423613317,-0.06458064152847882
1.85,0.20255634795959385,0.20240183017205368,0.7094751975656997,0.12957529397446343,-0.06106377753902123,0.7768613848264732,0.2868523985192619,-0.08974228076172863,0.5405682531867959,-0.456029725818114,-0.07708409832453436
1.9,0.20025964683153985,0.20809763820253488,0.7857195744694063,0.12668408435317635,-0.06541330272910693,0.862078208059047,0.12968984415808232,-0.09520495186117643,0.6080222760847029,-0.30714842620061567,-0.08392549600091155
1.95,0.197300321424016,0.21381530000635854,0.8594772854697755,0.12282401617921337,-0.06290194211477967,0.9396343328244916,0.004335575111280354,-0.09054185699317539,0.6788641887510135,-0.19050489484491429,-0.08308534207590634
2.0,0.1937555453568729,0.21954855827245837,0.9278071927288725,0.11958519190784313,-0.054195166734775015,1.0068687603630755,-0.0771625417333208,-0.07683365511065587,0.7496510930085881,-0.11590025671798973,-0.0750575152457635
2.05,0.1896750801543616,0.2252933661662842,0.9881158253903299,0.11818816544345465,-0.04183096890478254,1.0618260871091485,-0.10705236260056092,-0.057785136595064054,0.8169049866252719,-0.08962671926767946,-0.0626053669541173
2.1,0.1850899454247708,0.23104983922960298,1.038215370623524,0.11909762107008164,-0.029402641581829404,1.1032636667559175,-0.08285060970442618,-0.03856518960017911,0.8772830184074916,-0.11417526059805826,-0.049813746422099694
2.15,0.18001884805264576,0.23682259527708674,1.0763842495271547,0.1219325926291367,-0.020455727392160568,1.1306271080616215,-0.007613529482319413,-0.024255428927105995,0.9277554190550098,-0.1880554963681968,-0.04076290786868467
2.2,0.17448200844797923,0.2426187350902006,1.1014083008478759,0.1257871091946996,-0.01739232720660027,1.1439712145514231,0.11062395723447453,-0.018343564674456487,0.9657663003799613,-0.30565107670575176,-0.03824327262569897
2.25,0.16852637267210566,0.24844402273516045,1.1125850985776007,0.12985350955828182,-0.020698114310261466,1.143820713629215,0.2601107063678975,-0.02168900443371004,0.9893600006595009,-0.4572038443163351,-0.042906593094316936
2.3,0.16222602315281962,0.2543004784023946,1.1097525698976032,0.13383564066489576,-0.02883857429223746,1.1310506545605181,0.42677711321852163,-0.03236984097771034,0.997311760377447,-0.6293562178009119,-0.0530873669064541
2.35,0.1556677244840079,0.26018596667916716,1.0933114962712023,0.13803308379469145,-0.0388117788765293,1.1067768073189514,0.595561922262872,-0.046403765424857,0.9892228574587614,-0.8062923499191552,-0.06533989517426729
2.4,0.14893735860896698,0.26609536467560624,1.0642067807036317,0.1431485905729328,-0.047129866609593306,1.0722456137739524,0.7516092783247459,-0.059058231783280665,0.9655477439454146,-0.9713291423110064,-0.07554194329317918
