time,x_t,phi_shaft,q_b0_m0,q_b1_m0,q_b2_m0,q_b3_m0,q_b4_m0,q_b5_m0,q_b0_m1,q_b0_m2,q_b1_m1,q_b1_m2,q_b2_m1,q_b2_m2,q_b3_m1,q_b3_m2,q_b4_m1,q_b4_m2,q_b5_m1,q_b5_m2
0.0,0.0,0.0,25.499996623945137,25.499996623945137,25.499996623945137,25.499996623945137,25.499996623945137,25.499996623945137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0333889816360601,0.0,0.0005949039044286877,25.499996454406396,25.499996454406396,25.499996454406396,25.499996454406396,25.499996454406396,25.499996454406396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0667779632721202,0.0,0.001784711713286063,25.49999627635376,25.49999627635376,25.49999627635376,25.49999627635376,25.49999627635376,25.49999627635376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10016694490818029,0.0,0.003569423426572126,25.49999608935967,25.49999608935967,25.49999608935967,25.49999608935967,25.49999608935967,25.49999608935967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1335559265442404,0.0,0.005949039044286877,25.499995892975114,25.499995892975114,25.499995892975114,25.499995892975114,25.499995892975114,25.499995892975114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1669449081803005,0.0,0.008923558566430316,25.49999568672852,25.49999568672852,25.49999568672852,25.49999568672852,25.49999568672852,25.49999568672852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20033388981636058,0.0,0.012492981993002441,25.499995470124635,25.499995470124635,25.499995470124635,25.499995470124635,25.499995470124635,25.499995470124635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23372287145242068,0.0,0.016657309324003253,25.499995242643337,25.499995242643337,25.499995242643337,25.499995242643337,25.499995242643337,25.499995242643337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2671118530884808,0.0,0.021416540559432755,25.499995003738384,25.499995003738384,25.499995003738384,25.499995003738384,25.499995003738384,25.499995003738384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30050083472454087,0.0,0.026770675699290945,25.499994752836106,25.499994752836106,25.499994752836106,25.499994752836106,25.499994752836106,25.499994752836106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.333889816360601,0.0,0.03271971474357782,25.499994489334014,25.499994489334014,25.499994489334014,25.499994489334014,25.499994489334014,25.499994489334014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3672787979966611,0.0,0.03926365769229338,25.499994212599375,25.499994212599375,25.499994212599375,25.499994212599375,25.499994212599375,25.499994212599375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40066777963272115,0.0,0.04640250454543764,25.499993921967686,25.499993921967686,25.499993921967686,25.499993921967686,25.499993921967686,25.499993921967686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4340567612687813,0.0,0.054136255303010576,25.499993616741055,25.499993616741055,25.499993616741055,25.499993616741055,25.499993616741055,25.499993616741055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46744574290484137,0.0,0.0624649099650122,25.499993296186553,25.499993296186553,25.499993296186553,25.499993296186553,25.499993296186553,25.499993296186553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5008347245409015,0.0,0.07138846853144251,25.49999295953445,25.49999295953445,25.49999295953445,25.49999295953445,25.49999295953445,25.49999295953445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5342237061769616,0.0,0.08090693100230151,25.499992605976356,25.499992605976356,25.499992605976356,25.499992605976356,25.499992605976356,25.499992605976356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5676126878130217,0.0,0.0910202973775892,25.49999223466328,25.49999223466328,25.49999223466328,25.49999223466328,25.49999223466328,25.49999223466328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6010016694490817,0.0,0.10172856765730558,25.49999184470362,25.49999184470362,25.49999184470362,25.49999184470362,25.49999184470362,25.49999184470362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6343906510851419,0.0,0.11303174184145065,25.499991435160968,25.499991435160968,25.499991435160968,25.499991435160968,25.499991435160968,25.499991435160968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.667779632721202,0.0,0.1249298199300244,25.49999100505191,25.49999100505191,25.49999100505191,25.49999100505191,25.49999100505191,25.49999100505191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
