time,x_t,phi_shaft,q_b0_m0,q_b0_m1,q_b0_m2
0.0,0.00011943626474549725,0.005004118240256143,0.006414245519097706,-0.000254946257481624,-0.0024522011652945938
0.05,0.0006055271196944373,0.010020541629283139,0.03199100504793855,-0.0011532739373669493,-0.01162027551010773
0.1,0.0015864488160932104,0.015052569325253192,0.08155172521579913,-0.0025264472773250273,-0.027120298206872742
0.15,0.0030855452570610125,0.020099368607979496,0.15260266657334012,-0.0038135438415704257,-0.044374662308850114
0.2,0.005126983778348138,0.025160241293159857,0.24179936357407053,-0.0044762779969341315,-0.058368415287064254
0.25,0.007728704224232277,0.03023476012605402,0.34518375662822104,-0.0040708556029661995,-0.06515570052530101
0.3,0.010902614202785248,0.03532287189556399,0.45834719603064294,-0.002306170656475747,-0.0630052987936649
0.35,0.01465375785773417,0.040424944194640926,0.5766209117424633,0.0009241810486440993,-0.05285530225539068
0.4,0.018977646821911543,0.045541752394864805,0.6952834938553479,0.005536375399583364,-0.037973494348696485
0.45,0.023857181161354202,0.050674412425633295,0.8097654006942281,0.011272972458383289,-0.02294439364765797
0.5,0.02926724793517854,0.05582426938834538,0.9158168277702871,0.01774118736072126,-0.012265837029754713
0.55,0.03518165157588869,0.06099275994728504,1.0096463271239289,0.02446810279125994,-0.008994731018322724
0.6,0.041575895982633664,0.06618126667146045,1.0880453741345046,0.03096479169383251,-0.013863464732983048
0.65,0.04842737839586558,0.07139098393075527,1.148491565014554,0.0367907510256292,-0.025114999325510687
0.7,0.05571283429880138,0.07662281214003233,1.1892275339438159,0.04161001689305632,-0.03909319845958381
0.75,0.06340377197834848,0.08187729065458645,1.2093122315456544,0.045231729718681356,-0.0513962908147404
0.8,0.07146132186929545,0.08715457131268035,1.2086424947357484,0.04763069915490191,-0.05823202172420508
0.85,0.07983209983499484,0.09245442919654336,1.1879455605512457,0.04894735328989544,-0.05755828762308259
0.9,0.0884464401469709,0.09777630649303078,1.1487452513952994,0.04946812992502299,-0.04966162141303358
0.95,0.09721968225685702,0.10311938423260356,1.0932966976419918,0.04958820878134943,-0.03701359447540602
1.0,0.10605633008993132,0.10848267578017398,1.0244805447165106,0.049761292951580355,-0.02347986829595664
1.05,0.11485608540732095,0.11386513097299224,0.9456623582323541,0.05044308350139943,-0.013131342220041491
1.1,0.12352024662757484,0.11926574176761988,0.8605299832997657,0.052034839708550516,-0.00901777978412334
1.15,0.13195695564634433,0.12468364289840905,0.7729191235904009,0.054833514671827045,-0.012277492966651947
1.2,0.1400841295625956,0.1301181974885686,0.686636411964462,0.058994025276730144,-0.021843700227657782
1.25,0.14782971198785183,0.1355690600739114,0.6052909614787286,0.06450683863637219,-0.034818218750053795
1.3,0.15512972121168392,0.1410362130620834,0.5321445153787884,0.07119320018293283,-0.04738841981411329
1.35,0.16192511715554303,0.14651996441498388,0.46999156713274803,0.07872167427993923,-0.05600130338955731
1.4,0.16815885049253174,0.152020898647363,0.4210746016875833,0.08664666437141291,-0.05842366595775159
1.45,0.17377436192362422,0.157539791503662,0.38702997165999864,0.09446181289040341,-0.05436765393665883
1.5,0.17871621710347865,0.1630775006167065,0.3688577277360405,0.1016602307496872,-0.04551174772352457
1.55,0.18293285131577341,0.16863484305020593,0.3669118695653536,0.10779670909115835,-0.03493026719917685
1.6,0.18638072537697759,0.1742124769034835,0.38090929538425805,0.11254580156293124,-0.026123622117403777
1.65,0.18902866193992782,0.17981080495694624,0.4099544534210238,0.11574601675002855,-0.021952073546856167
1.7,0.1908610907013163,0.18542991652461097,0.45258228322539207,0.11742313794501127,-0.023783398158451537
1.75,0.19187929843706317,0.19106958061883011,0.5068199435396097,0.11778908642674091,-0.031106991581161023
1.8,0.19210023679846466,0.19672929093433705,0.5702656571609465,0.11721625734246222,-0.041728047084694055
1.85,0.19155311378557635,0.20240835275341856,0.6401903705452162,0.11619218520139087,-0.052461695164884324
1.9,0.19027466811026428,0.20810599941338942,0.7136585483312243,0.11526017106872663,-0.06010806239734178
1.95,0.18830436353168922,0.21382152093436213,0.7876579756255421,0.1149521927959643,-0.06241499849311003
2.0,0.18568072014615236,0.21955438486279127,0.8592299303999729,0.11572275677191872,-0.05873669398083127
2.05,0.1824395284255403,0.22530432849166154,0.9255915749261859,0.11789293539032293,-0.050192772071568956
2.1,0.1786141485157111,0.23107141010248164,0.9842453192274465,0.12161212000333371,-0.03929465361972283
2.15,0.17423043494607526,0.23685612100791884,1.033088477626417,0.12682683545671342,-0.029188540107122095
2.2,0.1693094337725283,0.2426593491693818,1.0704835426561023,0.13329037711292147,-0.02269964904833048
2.25,0.16388523342640077,0.24848207734902888,1.0952669847902763,0.14062970587210585,-0.021444336905266665
2.3,0.15800541667801538,0.254325297247222,1.1067759820285001,0.14839224134560783,-0.02537813266177297
2.35,0.15172358642016065,0.26019000184648966,1.1048708219956713,0.15608843144494516,-0.03287540991803962
2.4,0.14510398494924673,0.2660769657503747,1.0899057929752678,0.16326887601884643,-0.04124352084859026
2.45,0.1382181478103165,0.2719866495959494,1.0627014483018338,0.16957893373483873,-0.04756832038776087
2.5,0.1311262708172584,0.27791937496948904,1.0245412185961407,0.17476432643566328,-0.049653820928571776
2.55,0.12387549674350598,0.28387527269801643,0.9771152319921732,0.17870081361993465,-0.04667376757028602
2.6,0.1165058841798585,0.2898541589966321,0.9224306577567737,0.18142211230225713,-0.03937287266117706
2.65,0.10905151227534197,0.29585554637068157,0.8627274454149111,0.18311365474682742,-0.02980866682891871
2.7,0.10154318342044678,0.3018786840886715,0.8003945208842053,0.1840891342125641,-0.020699890884987807
2.75,0.0940119793902566,0.3079226302411955,0.7378791144125934,0.18475143284016865,-0.014586105791061229
2.8,0.08649261470825242,0.31398634898998107,0.677584924407768,0.18554223687066967,-0.01306338025893323
2.85,0.07902556309636787,0.32006881934760245,0.6217669034707345,0.18688671452919284,-0.016325721820384866
